time,OE20-601b-2 ||| supplyAirFlowRate,OE20-601b-2 ||| supplyDamperPosition,OE20-601b-2 ||| returnAirFlowRate,OE20-601b-2 ||| returnDamperPosition,OE20-601b-2 ||| valvePosition,OE20-601b-2 ||| shadePosition,OE20-601b-2 ||| supplyAirTemperature,OE20-601b-2 ||| supplyWaterTemperature,OE20-601b-2 ||| globalIrradiation,OE20-601b-2 ||| outdoorTemperature,OE20-601b-2 ||| numberOfPeople,OE20-601b-2 ||| adjacentIndoorTemperature_OE20-601b-1,OE20-601b-2 ||| adjacentIndoorTemperature_OE20-603-1,OE20-601b-2 ||| adjacentIndoorTemperature_OE20-603c-2,Supply damper ||| damperPosition,Exhaust damper ||| damperPosition,Space heater ||| supplyWaterTemperature,Space heater ||| waterFlowRate,Space heater ||| indoorTemperature,Valve ||| valvePosition,Temperature controller ||| actualValue,Temperature controller ||| setpointValue,CO2 controller ||| actualValue,OE20-601b-2| temperature sensor ||| indoorTemperature,OE20-601b-2| Valve position sensor ||| valvePosition,OE20-601b-2| Damper position sensor ||| damperPosition,OE20-601b-2| CO2 sensor ||| indoorCo2Concentration,OE20-601b-2| Heating meter ||| Energy,Heating system| Supply water temperature schedule ||| outdoorTemperature
2022-01-06 00:40:00,0.0,0.0,0.0,0.0,0.0,,21,61.15,0.0,-0.5,0,,,,0.0,0.0,"[61.15, 20.983144931762315, 20.983144931137932, 20.983144930824178, 20.983144930633518, 20.983144930506587, 20.983144930417247, 20.983144930351912, 20.983144930302775, 20.983144930265023]",0.0,20.968676893156953,0.0,20.968676893156953,20,500.29629720176126,20.968676893156953,0.0,0.0,500.29629720176126,7.214490064557363,-0.5
2022-01-06 00:50:00,0.0,0.0,0.0,0.0,0.0,,21,60.87,0.0,-0.9,0,,,,0.0,0.0,"[60.87, 20.976457150099538, 20.976457149653267, 20.976457149429017, 20.976457149292745, 20.976457149202023, 20.97645714913817, 20.97645714909147, 20.97645714905635, 20.976457149029372]",0.0,20.959700746578164,0.0,20.959700746578164,20,500.27601317697287,20.959700746578164,0.0,0.0,500.27601317697287,7.2147222791873515,-0.9
2022-01-06 01:00:00,0.0,0.0,0.0,0.0,0.0,,21,61.15,0.0,-0.5,0,,,,0.0,0.0,"[61.15, 20.96903165059894, 20.969031650279973, 20.969031650119693, 20.969031650022295, 20.96903164995745, 20.969031649911813, 20.969031649878435, 20.969031649853335, 20.969031649834054]",0.0,20.950426876661368,0.0,20.950426876661368,20,500.25711776354893,20.950426876661368,0.0,0.0,500.25711776354893,7.214980109023203,-0.5
2022-01-06 01:10:00,0.0,0.0,0.0,0.0,0.0,,21,61.08,0.0,-0.6,0,,,,0.0,0.0,"[61.08, 20.961057290081815, 20.96105728985384, 20.961057289739276, 20.961057289669665, 20.96105728962332, 20.961057289590702, 20.961057289566842, 20.961057289548904, 20.96105728953512]",0.0,20.941077331197448,0.0,20.941077331197448,20,500.23951589941265,20.941077331197448,0.0,0.0,500.23951589941265,7.215256996535499,-0.6
2022-01-06 01:20:00,0.0,0.0,0.0,0.0,0.0,,21,60.94,0.0,-0.8,0,,,,0.0,0.0,"[60.94, 20.952691290523642, 20.9526912903607, 20.952691290278818, 20.952691290229062, 20.95269129019594, 20.952691290172623, 20.95269129015557, 20.952691290142752, 20.952691290132897]",0.0,20.931730070267804,0.0,20.931730070267804,20,500.2231190302825,20.931730070267804,0.0,0.0,500.2231190302825,7.2155474826272235,-0.8
2022-01-06 01:30:00,0.0,0.0,0.0,0.0,0.0,,21,61.08,0.0,-0.6,0,,,,0.0,0.0,"[61.08, 20.94406425619357, 20.944064256077112, 20.944064256018585, 20.944064255983026, 20.944064255959354, 20.944064255942685, 20.9440642559305, 20.944064255921337, 20.94406425591429]",0.0,20.92244900681544,0.0,20.92244900681544,20,500.2078446641592,20.92244900681544,0.0,0.0,500.2078446641592,7.215847032427459,-0.6
2022-01-06 01:40:00,0.0,0.0,0.0,0.0,0.0,,21,60.87,0.0,-0.9,0,,,,0.0,0.0,"[60.87, 20.935264004156213, 20.935264004072977, 20.935264004031147, 20.93526400400573, 20.93526400398881, 20.935264003976897, 20.935264003968186, 20.93526400396164, 20.9352640039566]",0.0,20.913214753498323,0.0,20.913214753498323,20,500.1936159563116,20.913214753498323,0.0,0.0,500.1936159563116,7.216152596732245,-0.9
2022-01-06 01:50:00,0.0,0.0,0.0,0.0,0.0,,21,60.87,0.0,-0.9,0,,,,0.0,0.0,"[60.87, 20.92634606297239, 20.9263460629129, 20.926346062883, 20.926346062864837, 20.926346062852737, 20.926346062844225, 20.926346062838, 20.926346062833318, 20.926346062829715]",0.0,20.904001939226873,0.0,20.904001939226873,20,500.1803613226738,20.904001939226873,0.0,0.0,500.1803613226738,7.216462247466318,-0.9
2022-01-06 02:00:00,0.0,0.0,0.0,0.0,0.0,,21,60.8,0.0,-1.0,0,,,,0.0,0.0,"[60.8, 20.91734356781946, 20.917343567776943, 20.917343567755573, 20.91734356774259, 20.917343567733944, 20.91734356772786, 20.91734356772341, 20.917343567720064, 20.917343567717488]",0.0,20.894787591998465,0.0,20.894787591998465,20,500.16801407970877,20.894787591998465,0.0,0.0,500.16801407970877,7.216774834102516,-1.0
2022-01-06 02:10:00,0.0,0.0,0.0,0.0,0.0,,21,60.73,0.0,-1.1,0,,,,0.0,0.0,"[60.73, 20.90827436769335, 20.90827436766296, 20.908274367647685, 20.908274367638406, 20.908274367632227, 20.908274367627875, 20.9082743676247, 20.908274367622305, 20.908274367620464]",0.0,20.885551260900684,0.0,20.885551260900684,20,500.15651210892617,20.885551260900684,0.0,0.0,500.15651210892617,7.217089736883918,-1.1
2022-01-06 02:20:00,0.0,0.0,0.0,0.0,0.0,,21,60.66,0.0,-1.2,0,,,,0.0,0.0,"[60.66, 20.899146581267406, 20.899146581245684, 20.899146581234767, 20.899146581228138, 20.89914658122372, 20.89914658122061, 20.89914658121834, 20.899146581216627, 20.899146581215312]",0.0,20.876276685041375,0.0,20.876276685041375,20,500.1457975443664,20.876276685041375,0.0,0.0,500.1457975443664,7.217406673912057,-1.2
2022-01-06 02:30:00,0.0,0.0,0.0,0.0,0.0,,21,60.66,0.0,-1.2,0,,,,0.0,0.0,"[60.66, 20.88996830453739, 20.889968304521865, 20.889968304514063, 20.889968304509324, 20.889968304506166, 20.889968304503945, 20.88996830450232, 20.889968304501096, 20.889968304500158]",0.0,20.866971903597005,0.0,20.866971903597005,20,500.1358164814795,20.866971903597005,0.0,0.0,500.1358164814795,7.217725364075909,-1.2
2022-01-06 02:40:00,0.0,0.0,0.0,0.0,0.0,,21,60.38,0.0,-1.6,0,,,,0.0,0.0,"[60.38, 20.88073017401233, 20.880730174001236, 20.880730173995662, 20.880730173992273, 20.880730173990013, 20.88073017398843, 20.88073017398727, 20.880730173986393, 20.88073017398572]",0.0,20.857583807897754,0.0,20.857583807897754,20,500.1265187059331,20.857583807897754,0.0,0.0,500.1265187059331,7.218046132496642,-1.6
2022-01-06 02:50:00,0.0,0.0,0.0,0.0,0.0,,21,60.52,0.0,-1.4,0,,,,0.0,0.0,"[60.52, 20.871430655570844, 20.871430655562914, 20.87143065555893, 20.87143065555651, 20.871430655554892, 20.871430655553763, 20.871430655552935, 20.871430655552306, 20.871430655551826]",0.0,20.848130480502732,0.0,20.848130480502732,20,500.11785744098665,20.848130480502732,0.0,0.0,500.11785744098665,7.218369032442331,-1.4
2022-01-06 03:00:00,0.0,0.0,0.0,0.0,0.0,,21,60.59,0.0,-1.3,0,,,,0.0,0.0,"[60.59, 20.862088225632423, 20.86208822562675, 20.862088225623907, 20.862088225622173, 20.86208822562102, 20.86208822562021, 20.86208822561962, 20.862088225619168, 20.86208822561883]",0.0,20.83868053473998,0.0,20.83868053473998,20,500.10978911215915,20.83868053473998,0.0,0.0,500.10978911215915,7.218693422370607,-1.3
2022-01-06 03:10:00,0.0,0.0,0.0,0.0,0.0,,21,60.66,0.0,-1.2,0,,,,0.0,0.0,"[60.66, 20.852737083157542, 20.852737083153485, 20.852737083151457, 20.852737083150217, 20.852737083149393, 20.852737083148813, 20.852737083148394, 20.852737083148067, 20.852737083147826]",0.0,20.829307562788017,0.0,20.829307562788017,20,500.1022731280078,20.829307562788017,0.0,0.0,500.1022731280078,7.219018114817551,-1.2
