time,OE20-601b-2| Heating meter,OE20-601b-2| CO2 sensor,OE20-601b-2| Damper position sensor,OE20-601b-2| Valve position sensor,OE20-601b-2| temperature sensor
2022-01-03 00:00:00,-0.039608004695769375,500.00000000000006,0.0,0.0,24.998789191711694
2022-01-03 00:10:00,-0.06786846481079101,500.00000000000006,0.0,0.0,24.99386164266616
2022-01-03 00:20:00,-0.08794421640757925,500.00000000000006,0.0,0.0,24.981441946700215
2022-01-03 00:30:00,-0.10204932843885772,500.00000000000006,0.0,0.0,24.9568330924958
2022-01-03 00:40:00,-0.11172149603481767,500.00000000000006,0.0,0.0,24.91551416181028
2022-01-03 00:50:00,-0.11803397927063576,500.00000000000006,0.0,0.0,24.85488182120025
2022-01-03 01:00:00,-0.12176162058133481,500.00000000000006,0.0,0.0,24.775717979297042
2022-01-03 01:10:00,-0.12350091591805411,500.00000000000006,0.0,0.0,24.682332394644618
2022-01-03 01:20:00,-0.12374262762884987,500.00000000000006,0.0,0.0,24.58122937940061
2022-01-03 01:30:00,-0.12290519931562839,500.00000000000006,0.0,0.0,24.479241652414203
2022-01-03 01:40:00,-0.12134028131041369,500.00000000000006,0.0,0.0,24.38167699985206
2022-01-03 01:50:00,-0.11933173804939905,500.00000000000006,0.0,0.0,24.291819347068667
2022-01-03 02:00:00,-0.1170953092209697,500.00000000000006,0.0,0.0,24.210966175422072
2022-01-03 02:10:00,-0.11478362162436025,500.00000000000006,0.0,0.0,24.138958966359496
2022-01-03 02:20:00,-0.11249618843034181,500.00000000000006,0.0,0.0,24.074831066653132
2022-01-03 02:30:00,-0.11029156372362704,500.00000000000006,0.0,0.0,24.017313262447715
2022-01-03 02:40:00,-0.10819961456667239,500.00000000000006,0.0,0.0,23.965195694938302
2022-01-03 02:50:00,-0.10623036324244452,500.00000000000006,0.0,0.0,23.917335024103522
2022-01-03 03:00:00,-0.10438151062151797,500.00000000000006,0.0,0.0,23.872775932773948
2022-01-03 03:10:00,-0.10264458951703372,500.00000000000006,0.0,0.0,23.830829484388232
2022-01-03 03:20:00,-0.10100793593554057,500.00000000000006,0.0,0.0,23.79092907719314
2022-01-03 03:30:00,-0.09945896402287774,500.00000000000006,0.0,0.0,23.752645717933774
2022-01-03 03:40:00,-0.09798528420901818,500.00000000000006,0.0,0.0,23.71563675068319
2022-01-03 03:50:00,-0.0965753783320273,500.00000000000006,0.0,0.0,23.679633332416415
2022-01-03 04:00:00,-0.09521947525850047,500.00000000000006,0.0,0.0,23.64448011852801
2022-01-03 04:10:00,-0.093909507742187,500.00000000000006,0.0,0.0,23.610067723318934
2022-01-03 04:20:00,-0.09263922040332644,500.00000000000006,0.0,0.0,23.576346734538674
2022-01-03 04:30:00,-0.09140407241000624,500.00000000000006,0.0,0.0,23.543310096487403
2022-01-03 04:40:00,-0.0902008963074965,500.00000000000006,0.0,0.0,23.5109656881541
2022-01-03 04:50:00,-0.08902711168221457,500.00000000000006,0.0,0.0,23.47928155399859
2022-01-03 05:00:00,-0.08788137800166013,500.00000000000006,0.0,0.0,23.448308555409312
2022-01-03 05:10:00,-0.08676311712485894,500.00000000000006,0.0,0.0,23.418085055425763
2022-01-03 05:20:00,-0.08567185328983219,500.00000000000006,0.0,0.0,23.388604739680886
2022-01-03 05:30:00,-0.08460725720841654,500.00000000000006,0.0,0.0,23.359868694096804
2022-01-03 05:40:00,-0.08356854192337612,500.00000000000006,0.0,0.0,23.331821229308844
2022-01-03 05:50:00,-0.08255485296780812,500.00000000000006,0.0,0.0,23.30443286523223
2022-01-03 06:00:00,-0.08156532435617214,519.869312403177,0.0,0.0,23.277677830308676
2022-01-03 06:10:00,-0.08059868550110276,538.378403977676,0.0,0.0,23.251490335911512
2022-01-03 06:20:00,-0.07965379685598029,555.6203932303296,0.0,0.0,23.225847018882632
2022-01-03 06:30:00,-0.07872942099102535,571.6820239263603,0.0,0.0,23.20070517808199
2022-01-03 06:40:00,-0.07782492951275642,586.6441014938299,0.0,0.0,23.176090663298965
2022-01-03 06:50:00,-0.07694004490296104,600.5818995525474,0.45,0.0,23.152020800858736
2022-01-03 07:00:00,-0.07607526463223832,578.3478677923678,0.45,0.0,23.128565840423107
2022-01-03 07:10:00,-0.07523180659033298,569.1637291369692,0.45,0.0,23.105812842026353
2022-01-03 07:20:00,-0.07441111569051499,563.5866802855973,0.45,0.0,23.08381980098784
2022-01-03 07:30:00,-0.07361432320311373,560.2000291190986,0.45,0.0,23.06259666569531
2022-01-03 07:40:00,-0.07284190941583908,558.1434923324925,0.45,0.0,23.042110294103622
2022-01-03 07:50:00,-0.07209363281384082,556.8946647010844,0.45,0.0,23.022301645949483
2022-01-03 08:00:00,-0.0713686460242243,549.6601713128454,0.45,0.0,23.00310259871185
2022-01-03 08:10:00,-0.07066544164289236,577.6477676419787,0.45,0.0,22.98442211188376
2022-01-03 08:20:00,-0.06998256376392115,594.6431765547468,0.45,0.0,22.966221971437335
2022-01-03 08:30:00,-0.06931897508292151,604.9636028148442,0.45,0.0,22.94850250892341
2022-01-03 08:40:00,-0.06867422907943177,611.2306599204895,0.45,0.0,22.93129349499941
2022-01-03 08:50:00,-0.06804808835892678,615.0363171458382,0.45,0.0,22.914603183045983
2022-01-03 09:00:00,-0.06744050265214799,617.3472944790115,0.45,0.0,22.89844362810254
2022-01-03 09:10:00,-0.06685176736440104,618.7506305963233,0.45,0.0,22.882848281413317
2022-01-03 09:20:00,-0.06628206940830489,619.6028034973217,0.45,0.0,22.86781469732523
