time,Outdoor environment ||| outdoorTemperature,Outdoor environment ||| globalIrradiation,OE20-601b-2 ||| indoorTemperature,OE20-601b-2 ||| indoorCo2Concentration,Supply damper ||| airFlowRate,Supply damper ||| damperPosition,Exhaust damper ||| airFlowRate,Exhaust damper ||| damperPosition,Space heater ||| outletWaterTemperature,Space heater ||| Power,Space heater ||| Energy,Valve ||| waterFlowRate,Valve ||| valvePosition,Temperature controller ||| inputSignal,CO2 controller ||| inputSignal,OE20-601b-2| temperature sensor ||| indoorTemperature,OE20-601b-2| Valve position sensor ||| valvePosition,OE20-601b-2| Damper position sensor ||| damperPosition,OE20-601b-2| CO2 sensor ||| indoorCo2Concentration,OE20-601b-2| Heating meter ||| Energy,OE20-601b-2| Occupancy schedule ||| scheduleValue,OE20-601b-2| Temperature setpoint schedule ||| scheduleValue,Heating system| Supply water temperature schedule ||| supplyWaterTemperatureSetpoint,Ventilation system| Supply air temperature schedule ||| scheduleValue
2022-01-03 00:00:00,7.4,0.0,24.998789191711694,500.00000000000006,0.0,0.0,0.0,0.0,"[20.872250641959912, 20.87224243762774, 20.872236979649067, 20.87223262263623, 20.872229013727807, 20.872226003022895, 20.872223486629014, 20.87222138145746, 20.872219619110957, 20.872218142926805]",-237.64802817461623,-0.039608004695769375,0.0,0.0,0.0,0.0,24.998789191711694,0.0,0.0,500.00000000000006,-0.039608004695769375,0,20,60.5,21
2022-01-03 00:10:00,7.3,0.0,24.99386164266616,500.00000000000006,0.0,0.0,0.0,0.0,"[22.95461178655078, 22.95461178655078, 22.95461178655078, 22.95461178655078, 22.95461178655078, 22.95461178655078, 22.95461178655078, 22.95461178655078, 22.95461178655078, 22.95461178655078]",-169.5627606901298,-0.06786846481079101,0.0,0.0,0.0,0.0,24.99386164266616,0.0,0.0,500.00000000000006,-0.06786846481079101,0,20,60.5,21
2022-01-03 00:20:00,7.4,0.0,24.981441946700215,500.00000000000006,0.0,0.0,0.0,0.0,"[23.532793432538288, 23.532793432538288, 23.532793432538288, 23.532793432538288, 23.532793432538288, 23.532793432538288, 23.532793432538288, 23.532793432538288, 23.532793432538288, 23.532793432538288]",-120.45450958072946,-0.08794421640757925,0.0,0.0,0.0,0.0,24.981441946700215,0.0,0.0,500.00000000000006,-0.08794421640757925,0,20,60.5,21
2022-01-03 00:30:00,7.4,0.0,24.9568330924958,500.00000000000006,0.0,0.0,0.0,0.0,"[23.93902065903911, 23.93902065903911, 23.93902065903911, 23.93902065903911, 23.93902065903911, 23.93902065903911, 23.93902065903911, 23.93902065903911, 23.93902065903911, 23.93902065903911]",-84.63067218767078,-0.10204932843885772,0.0,0.0,0.0,0.0,24.9568330924958,0.0,0.0,500.00000000000006,-0.10204932843885772,0,20,60.5,21
2022-01-03 00:40:00,7.4,0.0,24.91551416181028,500.00000000000006,0.0,0.0,0.0,0.0,"[24.217579085802758, 24.217579085802758, 24.217579085802758, 24.217579085802758, 24.217579085802758, 24.217579085802758, 24.217579085802758, 24.217579085802758, 24.217579085802758, 24.217579085802758]",-58.03300557575967,-0.11172149603481767,0.0,0.0,0.0,0.0,24.91551416181028,0.0,0.0,500.00000000000006,-0.11172149603481767,0,20,60.5,21
2022-01-03 00:50:00,7.4,0.0,24.85488182120025,500.00000000000006,0.0,0.0,0.0,0.0,"[24.399378602994318, 24.399378602994318, 24.399378602994318, 24.399378602994318, 24.399378602994318, 24.399378602994318, 24.399378602994318, 24.399378602994318, 24.399378602994318, 24.399378602994318]",-37.87489941490853,-0.11803397927063576,0.0,0.0,0.0,0.0,24.85488182120025,0.0,0.0,500.00000000000006,-0.11803397927063576,0,20,60.5,21
2022-01-03 01:00:00,7.4,0.0,24.775717979297042,500.00000000000006,0.0,0.0,0.0,0.0,"[24.506734672742446, 24.506734672742446, 24.506734672742446, 24.506734672742446, 24.506734672742446, 24.506734672742446, 24.506734672742446, 24.506734672742446, 24.506734672742446, 24.506734672742446]",-22.36584786419431,-0.12176162058133481,0.0,0.0,0.0,0.0,24.775717979297042,0.0,0.0,500.00000000000006,-0.12176162058133481,0,20,60.5,21
2022-01-03 01:10:00,7.4,0.0,24.682332394644618,500.00000000000006,0.0,0.0,0.0,0.0,"[24.55682637843996, 24.55682637843996, 24.55682637843996, 24.55682637843996, 24.55682637843996, 24.55682637843996, 24.55682637843996, 24.55682637843996, 24.55682637843996, 24.55682637843996]",-10.435772020315746,-0.12350091591805411,0.0,0.0,0.0,0.0,24.682332394644618,0.0,0.0,500.00000000000006,-0.12350091591805411,0,20,60.5,21
2022-01-03 01:20:00,7.4,0.0,24.58122937940061,500.00000000000006,0.0,0.0,0.0,0.0,"[24.56378767571088, 24.56378767571088, 24.56378767571088, 24.56378767571088, 24.56378767571088, 24.56378767571088, 24.56378767571088, 24.56378767571088, 24.56378767571088, 24.56378767571088]",-1.45027026477454,-0.12374262762884987,0.0,0.0,0.0,0.0,24.58122937940061,0.0,0.0,500.00000000000006,-0.12374262762884987,0,20,60.5,21
2022-01-03 01:30:00,7.5,0.0,24.479241652414203,500.00000000000006,0.0,0.0,0.0,0.0,"[24.5396697402901, 24.5396697402901, 24.5396697402901, 24.5396697402901, 24.5396697402901, 24.5396697402901, 24.5396697402901, 24.5396697402901, 24.5396697402901, 24.5396697402901]",5.024569879328889,-0.12290519931562839,0.0,0.0,0.0,0.0,24.479241652414203,0.0,0.0,500.00000000000006,-0.12290519931562839,0,20,60.5,21
