,time,reference_T_a,reference_T_b
2024-01-01 09:10:00+01:00,2024-01-01 09:10:00+01:00,18.033090972592404,15.390793149225555
2024-01-01 09:20:00+01:00,2024-01-01 09:20:00+01:00,17.885041867957227,15.50515826452937
2024-01-01 09:30:00+01:00,2024-01-01 09:30:00+01:00,17.778338438541713,15.583870997726677
2024-01-01 09:40:00+01:00,2024-01-01 09:40:00+01:00,17.701676387692775,15.641179389058689
2024-01-01 09:50:00+01:00,2024-01-01 09:50:00+01:00,17.648530564319255,15.688935611295475
2024-01-01 10:00:00+01:00,2024-01-01 10:00:00+01:00,17.6129868772043,15.73424458518483
2024-01-01 10:10:00+01:00,2024-01-01 10:10:00+01:00,17.59287178961448,15.773014552632286
2024-01-01 10:20:00+01:00,2024-01-01 10:20:00+01:00,17.58677982803839,15.811439847205815
2024-01-01 10:30:00+01:00,2024-01-01 10:30:00+01:00,17.58893456718386,15.842353649621948
2024-01-01 10:40:00+01:00,2024-01-01 10:40:00+01:00,17.597757784502942,15.867656323419013
2024-01-01 10:50:00+01:00,2024-01-01 10:50:00+01:00,17.61522868682719,15.904060509078526
2024-01-01 11:00:00+01:00,2024-01-01 11:00:00+01:00,17.639339760315316,15.951841356547193
2024-01-01 11:10:00+01:00,2024-01-01 11:10:00+01:00,17.666859937983716,15.997651478950527
2024-01-01 11:20:00+01:00,2024-01-01 11:20:00+01:00,17.69493634576148,16.046534861842606
2024-01-01 11:30:00+01:00,2024-01-01 11:30:00+01:00,17.722456641875738,16.092535066011298
2024-01-01 11:40:00+01:00,2024-01-01 11:40:00+01:00,17.749207129984807,16.129659249082682
2024-01-01 11:50:00+01:00,2024-01-01 11:50:00+01:00,17.77765045186122,16.168819256732366
2024-01-01 12:00:00+01:00,2024-01-01 12:00:00+01:00,17.808871225117088,16.218211305865307
2024-01-01 12:10:00+01:00,2024-01-01 12:10:00+01:00,17.842165427866075,16.26479972540214
2024-01-01 12:20:00+01:00,2024-01-01 12:20:00+01:00,17.87611375039637,16.318566519271716
2024-01-01 12:30:00+01:00,2024-01-01 12:30:00+01:00,17.910043631680665,16.350201165047046
2024-01-01 12:40:00+01:00,2024-01-01 12:40:00+01:00,17.942594182944276,16.386544186871063
2024-01-01 12:50:00+01:00,2024-01-01 12:50:00+01:00,17.971285362154546,16.418400441917353
2024-01-01 13:00:00+01:00,2024-01-01 13:00:00+01:00,17.995492604881168,16.442711436339685
2024-01-01 13:10:00+01:00,2024-01-01 13:10:00+01:00,18.016198114831145,16.463620185423878
2024-01-01 13:20:00+01:00,2024-01-01 13:20:00+01:00,18.03431814257673,16.46909140440404
2024-01-01 13:30:00+01:00,2024-01-01 13:30:00+01:00,18.049366687145078,16.47325621952824
2024-01-01 13:40:00+01:00,2024-01-01 13:40:00+01:00,18.061913296057206,16.479419744934955
2024-01-01 13:50:00+01:00,2024-01-01 13:50:00+01:00,18.069830135250296,16.49040497732763
2024-01-01 14:00:00+01:00,2024-01-01 14:00:00+01:00,18.070865544957098,16.48923892767024
2024-01-01 14:10:00+01:00,2024-01-01 14:10:00+01:00,18.067675510759496,16.478532539608626
2024-01-01 14:20:00+01:00,2024-01-01 14:20:00+01:00,18.063268981502716,16.464633382800365
2024-01-01 14:30:00+01:00,2024-01-01 14:30:00+01:00,18.05666858720286,16.45466368122961
2024-01-01 14:40:00+01:00,2024-01-01 14:40:00+01:00,18.04679418772929,16.442269373384118
2024-01-01 14:50:00+01:00,2024-01-01 14:50:00+01:00,18.03556001367633,16.424620565056195
2024-01-01 15:00:00+01:00,2024-01-01 15:00:00+01:00,18.02033876397802,16.405307275205388
2024-01-01 15:10:00+01:00,2024-01-01 15:10:00+01:00,18.001472072200944,16.3817494796952
2024-01-01 15:20:00+01:00,2024-01-01 15:20:00+01:00,17.97963112384309,16.35845205108815
2024-01-01 15:30:00+01:00,2024-01-01 15:30:00+01:00,17.95514826216463,16.327310609543005
2024-01-01 15:40:00+01:00,2024-01-01 15:40:00+01:00,17.92767991696434,16.291210120365704
2024-01-01 15:50:00+01:00,2024-01-01 15:50:00+01:00,17.893287076201982,16.24659537760482
2024-01-01 16:00:00+01:00,2024-01-01 16:00:00+01:00,17.848919027681305,16.18726656964624
2024-01-01 16:10:00+01:00,2024-01-01 16:10:00+01:00,17.795114666512436,16.121424003091704
2024-01-01 16:20:00+01:00,2024-01-01 16:20:00+01:00,17.734683274160233,16.050640782950943
2024-01-01 16:30:00+01:00,2024-01-01 16:30:00+01:00,17.668340493423646,15.974219970103835
2024-01-01 16:40:00+01:00,2024-01-01 16:40:00+01:00,17.596617813689747,15.891959848973839
2024-01-01 16:50:00+01:00,2024-01-01 16:50:00+01:00,17.518381112189104,15.800433367547104
2024-01-01 17:00:00+01:00,2024-01-01 17:00:00+01:00,17.43249494905419,15.701888749702245
2024-01-01 17:10:00+01:00,2024-01-01 17:10:00+01:00,17.339323514633236,15.596808034819192
2024-01-01 17:20:00+01:00,2024-01-01 17:20:00+01:00,17.23750572202133,15.483197509622087
2024-01-01 17:30:00+01:00,2024-01-01 17:30:00+01:00,17.128953604211457,15.363978862067658
2024-01-01 17:40:00+01:00,2024-01-01 17:40:00+01:00,17.014032572685945,15.23960526610305
2024-01-01 17:50:00+01:00,2024-01-01 17:50:00+01:00,16.890815007414037,15.107982468776132
2024-01-01 18:00:00+01:00,2024-01-01 18:00:00+01:00,16.762874431685614,14.971181291784628
2024-01-01 18:10:00+01:00,2024-01-01 18:10:00+01:00,16.631730359966504,14.833607159266522
2024-01-01 18:20:00+01:00,2024-01-01 18:20:00+01:00,16.49890674404761,14.69606783983871
2024-01-01 18:30:00+01:00,2024-01-01 18:30:00+01:00,16.363634329362647,14.55729959563261
2024-01-01 18:40:00+01:00,2024-01-01 18:40:00+01:00,16.22519242742318,14.416238183496809
2024-01-01 18:50:00+01:00,2024-01-01 18:50:00+01:00,16.08646206216655,14.275524231250994
2024-01-01 19:00:00+01:00,2024-01-01 19:00:00+01:00,15.945371388465784,14.132916335814846
2024-01-01 19:10:00+01:00,2024-01-01 19:10:00+01:00,15.797837111596559,13.984210553581173
2024-01-01 19:20:00+01:00,2024-01-01 19:20:00+01:00,15.645526076827379,13.830987061253722
2024-01-01 19:30:00+01:00,2024-01-01 19:30:00+01:00,15.492151931078585,13.676896613914407
2024-01-01 19:40:00+01:00,2024-01-01 19:40:00+01:00,15.339217396748154,13.523395812197991
2024-01-01 19:50:00+01:00,2024-01-01 19:50:00+01:00,15.185627849171505,13.369355842182594
2024-01-01 20:00:00+01:00,2024-01-01 20:00:00+01:00,15.02986985042119,13.213237648262622
2024-01-01 20:10:00+01:00,2024-01-01 20:10:00+01:00,14.87243895534755,13.055517387517787
2024-01-01 20:20:00+01:00,2024-01-01 20:20:00+01:00,14.715926197884553,12.898771257379938
2024-01-01 20:30:00+01:00,2024-01-01 20:30:00+01:00,14.56102996177036,12.743686186195957
2024-01-01 20:40:00+01:00,2024-01-01 20:40:00+01:00,14.408968371054995,12.59147137600047
2024-01-01 20:50:00+01:00,2024-01-01 20:50:00+01:00,14.259445946093011,12.441824343369072
2024-01-01 21:00:00+01:00,2024-01-01 21:00:00+01:00,14.10943241595065,12.291709280733183
2024-01-01 21:10:00+01:00,2024-01-01 21:10:00+01:00,13.95770845040824,12.139902454011017
2024-01-01 21:20:00+01:00,2024-01-01 21:20:00+01:00,13.805417088229275,11.98754338034679
2024-01-01 21:30:00+01:00,2024-01-01 21:30:00+01:00,13.651506054496828,11.833576955753617
2024-01-01 21:40:00+01:00,2024-01-01 21:40:00+01:00,13.496652712442943,11.678678261860735
2024-01-01 21:50:00+01:00,2024-01-01 21:50:00+01:00,13.345471602524276,11.527459992974283
2024-01-01 22:00:00+01:00,2024-01-01 22:00:00+01:00,13.200147425082445,11.382105351498113
2024-01-01 22:10:00+01:00,2024-01-01 22:10:00+01:00,13.059565335423462,11.241498274532397
2024-01-01 22:20:00+01:00,2024-01-01 22:20:00+01:00,12.925350722961914,11.107263158883795
2024-01-01 22:30:00+01:00,2024-01-01 22:30:00+01:00,12.796738003045366,10.978633609832487
2024-01-01 22:40:00+01:00,2024-01-01 22:40:00+01:00,12.667295090265515,10.849176880012546
2024-01-01 22:50:00+01:00,2024-01-01 22:50:00+01:00,12.534088694727432,10.715959138021924
2024-01-01 23:00:00+01:00,2024-01-01 23:00:00+01:00,12.39613495233431,10.57799607640077
2024-01-01 23:10:00+01:00,2024-01-01 23:10:00+01:00,12.252970019986208,10.434823488781245
2024-01-01 23:20:00+01:00,2024-01-01 23:20:00+01:00,12.1057816731391,10.287628852802083
2024-01-01 23:30:00+01:00,2024-01-01 23:30:00+01:00,11.958100313734905,10.139942326129068
2024-01-01 23:40:00+01:00,2024-01-01 23:40:00+01:00,11.813428436524232,9.995266203073768
2024-01-01 23:50:00+01:00,2024-01-01 23:50:00+01:00,11.671569481211964,9.853403758819736
2024-01-02 00:00:00+01:00,2024-01-02 00:00:00+01:00,11.533171580133079,9.715002990626939
2024-01-02 00:10:00+01:00,2024-01-02 00:10:00+01:00,11.395412569020362,9.577241623305646
2024-01-02 00:20:00+01:00,2024-01-02 00:20:00+01:00,11.256633396215975,9.438460514093634
2024-01-02 00:30:00+01:00,2024-01-02 00:30:00+01:00,11.118762413715809,9.300587940149219
2024-01-02 00:40:00+01:00,2024-01-02 00:40:00+01:00,10.981286379418226,9.163110597888528
2024-01-02 00:50:00+01:00,2024-01-02 00:50:00+01:00,10.845017705807273,9.026840849280669
2024-01-02 01:00:00+01:00,2024-01-02 01:00:00+01:00,10.71282924342262,8.894651503358185
2024-01-02 01:10:00+01:00,2024-01-02 01:10:00+01:00,10.583079255426668,8.764900789175787
2024-01-02 01:20:00+01:00,2024-01-02 01:20:00+01:00,10.456366948639365,8.638187885524696
2024-01-02 01:30:00+01:00,2024-01-02 01:30:00+01:00,10.337006163347132,8.518826609657186
2024-01-02 01:40:00+01:00,2024-01-02 01:40:00+01:00,10.224987284565948,8.40680732765904
2024-01-02 01:50:00+01:00,2024-01-02 01:50:00+01:00,10.118930070252224,8.300749781928817
2024-01-02 02:00:00+01:00,2024-01-02 02:00:00+01:00,10.017600191316973,8.199419630590965
2024-01-02 02:10:00+01:00,2024-01-02 02:10:00+01:00,9.91914529648903,8.10096451186522
2024-01-02 02:20:00+01:00,2024-01-02 02:20:00+01:00,9.82435152929701,8.006170560642794
2024-01-02 02:30:00+01:00,2024-01-02 02:30:00+01:00,9.732132950024532,7.913951830108157
2024-01-02 02:40:00+01:00,2024-01-02 02:40:00+01:00,9.641538215020185,7.823356970774998
2024-01-02 02:50:00+01:00,2024-01-02 02:50:00+01:00,9.554061806596629,7.735880460160143
2024-01-02 03:00:00+01:00,2024-01-02 03:00:00+01:00,9.470574684779804,7.6523932543477144
2024-01-02 03:10:00+01:00,2024-01-02 03:10:00+01:00,9.390793850888794,7.572612351416893
2024-01-02 03:20:00+01:00,2024-01-02 03:20:00+01:00,9.31557116257685,7.497389606357937
2024-01-02 03:30:00+01:00,2024-01-02 03:30:00+01:00,9.24471173058121,7.426530127719276
2024-01-02 03:40:00+01:00,2024-01-02 03:40:00+01:00,9.177069101536249,7.3588874603362155
2024-01-02 03:50:00+01:00,2024-01-02 03:50:00+01:00,9.110121811373922,7.2919401386619835
2024-01-02 04:00:00+01:00,2024-01-02 04:00:00+01:00,9.042640939385722,7.224459240772643
2024-01-02 04:10:00+01:00,2024-01-02 04:10:00+01:00,8.975568291165544,7.157386571263075
2024-01-02 04:20:00+01:00,2024-01-02 04:20:00+01:00,8.911991710726925,7.093809973325683
2024-01-02 04:30:00+01:00,2024-01-02 04:30:00+01:00,8.852339226689713,7.034157474905385
2024-01-02 04:40:00+01:00,2024-01-02 04:40:00+01:00,8.79584981521848,6.977668051611991
2024-01-02 04:50:00+01:00,2024-01-02 04:50:00+01:00,8.746285513849305,6.928103740525611
2024-01-02 05:00:00+01:00,2024-01-02 05:00:00+01:00,8.703763177443202,6.885581396132466
2024-01-02 05:10:00+01:00,2024-01-02 05:10:00+01:00,8.668630655707341,6.850448867831663
2024-01-02 05:20:00+01:00,2024-01-02 05:20:00+01:00,8.641387328089655,6.823205534817933
2024-01-02 05:30:00+01:00,2024-01-02 05:30:00+01:00,8.618813592385862,6.800631794678867
2024-01-02 05:40:00+01:00,2024-01-02 05:40:00+01:00,8.59705614161366,6.7788743402610985
2024-01-02 05:50:00+01:00,2024-01-02 05:50:00+01:00,8.576179858297774,6.757998053948742
2024-01-02 06:00:00+01:00,2024-01-02 06:00:00+01:00,9.275059095547018,6.750660444494705
2024-01-02 06:10:00+01:00,2024-01-02 06:10:00+01:00,9.805295541550551,6.791018691880178
2024-01-02 06:20:00+01:00,2024-01-02 06:20:00+01:00,10.236315920571952,6.880615986581201
2024-01-02 06:30:00+01:00,2024-01-02 06:30:00+01:00,10.604728414356481,7.009615930288688
2024-01-02 06:40:00+01:00,2024-01-02 06:40:00+01:00,10.934938726412627,7.1732194901008945
2024-01-02 06:50:00+01:00,2024-01-02 06:50:00+01:00,11.240918283214828,7.362782603259489
2024-01-02 07:00:00+01:00,2024-01-02 07:00:00+01:00,11.530955522661516,7.57402729492928
2024-01-02 07:10:00+01:00,2024-01-02 07:10:00+01:00,11.812284917509619,7.803341335400778
2024-01-02 07:20:00+01:00,2024-01-02 07:20:00+01:00,12.087428229335345,8.044425496710922
2024-01-02 07:30:00+01:00,2024-01-02 07:30:00+01:00,12.358390888420267,8.29163977797954
2024-01-02 07:40:00+01:00,2024-01-02 07:40:00+01:00,12.62551423038235,8.539439055458224
2024-01-02 07:50:00+01:00,2024-01-02 07:50:00+01:00,12.888950328913307,8.79043678990862
2024-01-02 08:00:00+01:00,2024-01-02 08:00:00+01:00,13.15210985254377,9.051974918176894
2024-01-02 08:10:00+01:00,2024-01-02 08:10:00+01:00,13.418387829739581,9.32186233566022
