Time stamp,outdoorTemperature,globalIrradiation,co2Concentration
2023-01-01 00:00:00+00:00,10,0,400
2023-01-01 01:00:00+00:00,10.6,0,400
2023-01-01 02:00:00+00:00,10.5,0,400
2023-01-01 03:00:00+00:00,10.5,0,400
2023-01-01 04:00:00+00:00,10.4,0,400
2023-01-01 05:00:00+00:00,10.3,0,400
2023-01-01 06:00:00+00:00,10.5,0,400
2023-01-01 07:00:00+00:00,10.5,0,400
2023-01-01 08:00:00+00:00,10.3,0,400
2023-01-01 09:00:00+00:00,10.1,0,400
2023-01-01 10:00:00+00:00,10,0,400
2023-01-01 11:00:00+00:00,9.8,5,400
2023-01-01 12:00:00+00:00,9.6,36,400
2023-01-01 13:00:00+00:00,9.5,47,400
2023-01-01 14:00:00+00:00,9.2,39,400
2023-01-01 15:00:00+00:00,9.1,45,400
2023-01-01 16:00:00+00:00,9,31,400
2023-01-01 17:00:00+00:00,8.7,10,400
2023-01-01 18:00:00+00:00,8.3,0,400
2023-01-01 19:00:00+00:00,8.4,0,400
2023-01-01 20:00:00+00:00,8.3,0,400
2023-01-01 21:00:00+00:00,8.2,0,400
2023-01-01 22:00:00+00:00,8.6,0,400
2023-01-01 23:00:00+00:00,8.4,0,400
2023-01-02 00:00:00+00:00,8.1,0,400
2023-01-02 01:00:00+00:00,8,0,400
2023-01-02 02:00:00+00:00,8.3,0,400
2023-01-02 03:00:00+00:00,8,0,400
2023-01-02 04:00:00+00:00,7.6,0,400
2023-01-02 05:00:00+00:00,7.5,0,400
2023-01-02 06:00:00+00:00,7.6,0,400
2023-01-02 07:00:00+00:00,7.8,0,400
2023-01-02 08:00:00+00:00,8,0,400
2023-01-02 09:00:00+00:00,8.7,0,400
2023-01-02 10:00:00+00:00,9,0,400
2023-01-02 11:00:00+00:00,8.4,5,400
2023-01-02 12:00:00+00:00,7.7,13,400
2023-01-02 13:00:00+00:00,7.2,20,400
2023-01-02 14:00:00+00:00,7.3,24,400
2023-01-02 15:00:00+00:00,7.2,37,400
2023-01-02 16:00:00+00:00,6.7,27,400
2023-01-02 17:00:00+00:00,6.4,10,400
2023-01-02 18:00:00+00:00,6.8,0,400
2023-01-02 19:00:00+00:00,6.7,0,400
2023-01-02 20:00:00+00:00,6.4,0,400
2023-01-02 21:00:00+00:00,5.7,0,400
2023-01-02 22:00:00+00:00,5.1,0,400
2023-01-02 23:00:00+00:00,4.8,0,400
2023-01-03 00:00:00+00:00,4.7,0,400
2023-01-03 01:00:00+00:00,4.6,0,400
2023-01-03 02:00:00+00:00,4.5,0,400
2023-01-03 03:00:00+00:00,4.3,0,400
2023-01-03 04:00:00+00:00,4.8,0,400
2023-01-03 05:00:00+00:00,4.3,0,400
2023-01-03 06:00:00+00:00,4.5,0,400
2023-01-03 07:00:00+00:00,4,0,400
2023-01-03 08:00:00+00:00,3.2,0,400
2023-01-03 09:00:00+00:00,3.3,0,400
2023-01-03 10:00:00+00:00,4,2,400
2023-01-03 11:00:00+00:00,4.7,47,400
